model,threshold,roc_auc,pr_auc,f1,recall,precision,predicted_positive
operational_baseline,0.5,0.8150000000000001,0.47127596174035796,0.5,0.7,0.3888888888888889,18
two_stage_global,0.5,0.79,0.41149601946041575,0.5517241379310345,0.8,0.42105263157894735,19
two_stage_europe,0.5,0.8125,0.5148430115635998,0.5161290322580645,0.8,0.38095238095238093,21
two_stage_local,0.5,0.77,0.43156998556998555,0.48,0.6,0.4,15
two_stage_multiscale_all,0.5,0.8375,0.5045812968393614,0.5925925925925926,0.8,0.47058823529411764,17
